Latitude,Longitude
47.59485904,-122.3935606
47.59485904,-122.4068922
47.59485904,-122.4202238
47.59485904,-122.4335553
47.59485904,-122.4468869
47.59485904,-122.4602184
47.59485904,-122.47355
47.60384943,-122.2735789
47.60384943,-122.2869127
47.60384943,-122.3002466
47.60384943,-122.3135804
47.60384943,-122.3269143
47.60384943,-122.3402481
47.60384943,-122.353582
47.60384943,-122.3669158
47.60384943,-122.3802497
47.60384943,-122.3935835
47.60384943,-122.4069174
47.60384943,-122.4202512
47.60384943,-122.4335851
47.60384943,-122.446919
47.60384943,-122.4602528
47.60384943,-122.4735867
47.61283982,-122.2735811
47.61283982,-122.2869173
47.61283982,-122.3002534
47.61283982,-122.3135896
47.61283982,-122.3269257
47.61283982,-122.3402619
47.61283982,-122.353598
47.61283982,-122.3669342
