GEOID,Census_Name,Census_Tract,Latitude,Longitude,Median_Household_Income,MHI_Error,Per_Capita_Income,Gini_Index_Of_Inequality,Total_Population
53033008400,"Census Tract 84, King, WA",84,47.61397,-122.324,42339,8299,50332,0.5319,4127
53033008500,"Census Tract 85, King, WA",85,47.60523,-122.32478,29883,6556,25807,0.5928,4311
53033008600,"Census Tract 86, King, WA",86,47.60743,-122.31662,43375,6826,24471,0.4886,4890
53033008700,"Census Tract 87, King, WA",87,47.60581,-122.30778,56700,5993,33927,0.4292,4440
53033008800,"Census Tract 88, King, WA",88,47.60778,-122.29714,76524,6666,37090,0.3792,3867
53033008900,"Census Tract 89, King, WA",89,47.59615,-122.29285,79953,8201,57376,0.5322,4686
53033009000,"Census Tract 90, King, WA",90,47.59892,-122.30924,44571,10945,31698,0.4827,3478
53033009100,"Census Tract 91, King, WA",91,47.59759,-122.321,29464,2866,23587,0.4978,2693
53033009200,"Census Tract 92, King, WA",92,47.6006,-122.33139,25625,8349,28971,0.557,2637
53033009300,"Census Tract 93, King, WA",93,47.57687,-122.32881,70458,11946,39062,0.4493,2832
53033009400,"Census Tract 94, King, WA",94,47.58741,-122.3101,47737,8734,28921,0.5202,5824
53033009500,"Census Tract 95, King, WA",95,47.58191,-122.29019,81676,21068,54876,0.5358,6301
53033009600,"Census Tract 96, King, WA",96,47.58694,-122.38718,77808,10044,55807,0.4511,5342
53033009701,"Census Tract 97.01, King, WA",97.01,47.57449,-122.41035,82333,20735,62824,0.4854,5751
53033009702,"Census Tract 97.02, King, WA",97.02,47.57171,-122.39542,106319,17170,46840,0.3542,5626
53033009800,"Census Tract 98, King, WA",98,47.57108,-122.38237,71705,12424,43655,0.413,6902
53033009900,"Census Tract 99, King, WA",99,47.56928,-122.36048,67277,11419,44413,0.3731,5054
53033010001,"Census Tract 100.01, King, WA",100.01,47.56772,-122.30306,51316,17659,29747,0.4617,4207
53033010002,"Census Tract 100.02, King, WA",100.02,47.57664,-122.30993,66458,4716,30616,0.3996,4763
53033010100,"Census Tract 101, King, WA",101,47.56633,-122.28066,59275,4354,41657,0.526,6756
53033010200,"Census Tract 102, King, WA",102,47.55254,-122.26358,84324,13360,50278,0.4651,4569
53033010300,"Census Tract 103, King, WA",103,47.55469,-122.28238,57750,9373,28546,0.43,6371
53033010401,"Census Tract 104.01, King, WA",104.01,47.55347,-122.29525,60682,12409,24865,0.4136,4711
53033010402,"Census Tract 104.02, King, WA",104.02,47.55364,-122.31113,79432,12890,29674,0.3897,5218
53033010500,"Census Tract 105, King, WA",105,47.55712,-122.3852,66794,7324,44318,0.4444,6631
53033010600,"Census Tract 106, King, WA",106,47.54901,-122.38889,90208,14893,46840,0.4181,8079
53033010701,"Census Tract 107.01, King, WA",107.01,47.54061,-122.36563,55504,6379,26673,0.4748,3700
53033010702,"Census Tract 107.02, King, WA",107.02,47.54745,-122.37318,48036,13269,21992,0.4882,4393
53033010800,"Census Tract 108, King, WA",108,47.54826,-122.35404,74107,10937,31948,0.4053,4670
53033010900,"Census Tract 109, King, WA",109,47.54397,-122.31903,42159,15005,32015,0.3964,1055
53033011001,"Census Tract 110.01, King, WA",110.01,47.53707,-122.2859,29286,14329,16959,0.5214,4932
53033011002,"Census Tract 110.02, King, WA",110.02,47.5409,-122.29877,47604,7719,19438,0.4972,4722
53033011101,"Census Tract 111.01, King, WA",111.01,47.53986,-122.27705,52412,5871,23605,0.4049,5096
53033011102,"Census Tract 111.02, King, WA",111.02,47.54078,-122.26478,61901,12038,28116,0.4421,4681
53033011200,"Census Tract 112, King, WA",112,47.52792,-122.32383,35425,5752,18573,0.4456,4174
53033011300,"Census Tract 113, King, WA",113,47.52664,-122.3458,47363,9876,28254,0.4392,6969
53033011401,"Census Tract 114.01, King, WA",114.01,47.5289,-122.36091,54622,4009,27559,0.3704,4041
53033011402,"Census Tract 114.02, King, WA",114.02,47.52038,-122.36366,47701,4274,25449,0.4386,4405
53033011500,"Census Tract 115, King, WA",115,47.53041,-122.37567,75123,9327,43639,0.3961,4252
53033011600,"Census Tract 116, King, WA",116,47.52925,-122.38821,102500,8516,61228,0.4693,6570
53033011700,"Census Tract 117, King, WA",117,47.52096,-122.28169,60917,11983,22997,0.4126,5456
53033011800,"Census Tract 118, King, WA",118,47.52079,-122.26581,38846,12012,20681,0.517,8010
53033011900,"Census Tract 119, King, WA",119,47.50711,-122.25508,71524,6113,27120,0.3322,7428
53033012000,"Census Tract 120, King, WA",120,47.51192,-122.38082,83421,13523,42940,0.3972,3474
53033012100,"Census Tract 121, King, WA",121,47.50467,-122.38383,110060,29871,59614,0.4242,2853
53033026001,"Census Tract 260.01, King, WA",260.01,47.50272,-122.24845,73750,16463,34319,0.4076,5755
53033026400,"Census Tract 264, King, WA",264,47.51012,-122.31216,43487,5304,21032,0.3794,5711
53033026500,"Census Tract 265, King, WA",265,47.51511,-122.33516,29107,5265,16627,0.4815,4313
